region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3
Sweden,2019-10-27,1.122166249576096,-0.4642514669468904,2.750527827089809,SWE
Sweden,2019-11-03,1.0742176722041235,-0.35046643441456293,2.4186221523821017,SWE
Sweden,2019-11-10,2.020165565559472,0.7513328927663626,3.4094284125024843,SWE
Sweden,2019-11-17,2.5397267767815928,0.13943220535290096,4.539130267447073,SWE
Sweden,2019-11-24,2.750944168650123,0.4916934532350084,4.9248051140487235,SWE
Sweden,2019-12-01,2.4611401206385093,1.1153931475841388,4.3469208910759,SWE
Sweden,2019-12-08,2.517409794681833,1.0470396775590416,4.17614192129383,SWE
Sweden,2019-12-15,2.7493796958091923,1.241176395288678,4.35020004893086,SWE
Sweden,2019-12-22,2.2558464159501566,0.39352877107846773,4.193027159374273,SWE
Sweden,2019-12-29,1.5171982033886298,-0.47592587030294853,3.5808021014852907,SWE
Sweden,2020-01-05,1.5121903258410327,-0.04826045401332513,3.169197009411798,SWE
Sweden,2020-01-12,1.712927320980788,0.30396524784213497,3.2526577483514827,SWE
Sweden,2020-01-19,1.3759530203539052,-0.10478975249705152,3.026292425417818,SWE
Sweden,2020-01-26,1.2956663759178222,-0.13385483615666988,2.9365564665885158,SWE
Sweden,2020-02-02,1.171191542586703,-0.23339607677304997,2.8278130577185303,SWE
Sweden,2020-02-09,2.031382893207897,0.5560176286653654,3.6381856426108596,SWE
Sweden,2020-02-16,3.150418635755074,1.6686324083398623,4.881400739413314,SWE
Sweden,2020-02-23,2.641964262668496,1.0301757500434419,4.370824279769425,SWE
Sweden,2020-03-01,1.4032068779456996,-0.42633314965790947,3.0041795655823185,SWE
Sweden,2020-03-08,0.6722953990636178,-2.066216160553759,2.9602997094518417,SWE
Sweden,2020-03-15,-1.6850715458552503,-5.467212558136604,1.954628241935716,SWE
Sweden,2020-03-22,-5.387615473667632,-9.27126656041695,-1.1507639986460498,SWE
Sweden,2020-03-29,-7.577763588402799,-11.217746126025023,-3.5721426480147995,SWE
Sweden,2020-04-05,-8.320762778373563,-11.853518635298915,-4.452032849170173,SWE
Sweden,2020-04-12,-8.945742363165913,-12.274156901692198,-5.169836712871323,SWE
Sweden,2020-04-19,-9.173017359663298,-12.11688623358869,-5.832614964015515,SWE
Sweden,2020-04-26,-8.299821942096115,-11.194607871670872,-5.22659986019468,SWE
Sweden,2020-05-03,-8.28761467668188,-11.157530037412496,-5.136123090975111,SWE
Sweden,2020-05-10,-8.127772983674678,-10.567121973086921,-5.1183820681338705,SWE
Sweden,2020-05-17,-6.284665189842948,-8.595026315789802,-3.6160747404833087,SWE
Sweden,2020-05-24,-7.357447808009159,-10.088410205665692,-4.108424042256617,SWE
Sweden,2020-05-31,-8.004995024150148,-10.803114979864041,-4.414090330993856,SWE
Sweden,2020-06-07,-5.88853231328838,-8.301048490722135,-2.999070387115757,SWE
Sweden,2020-06-14,-4.944223998089305,-7.121351368762898,-2.36705423163027,SWE
Sweden,2020-06-21,-4.211345690721403,-6.451061380616258,-1.6805679121631423,SWE
Sweden,2020-06-28,-3.1469722188788243,-5.437815650796654,-0.9015717896473698,SWE
Sweden,2020-07-05,-2.132297115909659,-4.40289475681503,-0.08079235507710754,SWE
Sweden,2020-07-12,-2.715713655219958,-4.930154136044641,-0.5292163842635677,SWE
Sweden,2020-07-19,-3.142696436565209,-5.400965359581356,-0.5454588641702612,SWE
Sweden,2020-07-26,-2.018586481602865,-4.0279785424172445,0.4174389063460389,SWE
Sweden,2020-08-02,-2.189315329750251,-4.317583912651067,-0.15491760308814284,SWE
Sweden,2020-08-09,-3.0438911123855665,-5.731927314533495,-0.03725244623688306,SWE
Sweden,2020-08-16,-2.7256802886470846,-5.167779931217966,0.24805408221271244,SWE
Sweden,2020-08-23,-1.9713728961652541,-3.7893523403824365,-0.0021489403873416746,SWE
Sweden,2020-08-30,-2.1010454070666507,-3.980871167847694,0.35691847710802926,SWE
Sweden,2020-09-06,-2.328522883253352,-4.24305185963013,0.15293121017211053,SWE
Sweden,2020-09-13,-2.3298686835548477,-4.2773175232757605,-0.26683355551453825,SWE
Sweden,2020-09-20,-2.466843108974932,-4.422957765157876,-0.4371271153525724,SWE
Sweden,2020-09-27,-2.2654802284360107,-4.179479921914853,-0.07624864745661497,SWE
Sweden,2020-10-04,-2.1657560009110886,-4.492836808816626,0.5447615110447319,SWE
Sweden,2020-10-11,-1.7264735721549058,-4.112668628049616,1.0921299605697579,SWE
Sweden,2020-10-18,-1.5910250286764533,-3.821685793539335,0.9542699777773747,SWE
Sweden,2020-10-25,-1.6775490958384518,-3.7544311700202453,0.4041425338669907,SWE
Sweden,2020-11-01,-2.8241646112468946,-5.467482677016335,-0.10675887507694565,SWE
Sweden,2020-11-08,-3.545350560395338,-6.138417469053973,-0.7021804309460851,SWE
Sweden,2020-11-15,-3.114085978833644,-5.055044714697842,-1.036829900782099,SWE
Sweden,2020-11-22,-2.920733459034779,-4.8438080801594126,-1.0465159302234823,SWE
Sweden,2020-11-29,-2.562969147437812,-4.477463466808775,-0.8700290305418172,SWE
Sweden,2020-12-06,-1.8464740493131484,-3.7496412200241043,-0.012962826271552319,SWE
Sweden,2020-12-13,-1.5507540108739362,-3.7688696795251064,0.712769523282198,SWE
Sweden,2020-12-20,-2.681171408932283,-5.218841088383664,-0.15789354914671427,SWE
Sweden,2020-12-27,-3.0119930927230505,-5.396258030645001,-0.48282335382156294,SWE
Sweden,2021-01-03,-1.7222017951362734,-3.7883733126026424,0.6086815186163687,SWE
Sweden,2021-01-10,-1.812784644970033,-3.890059704914337,0.4459487394635572,SWE
Sweden,2021-01-17,-2.5417170692280964,-4.982512534031972,-0.30423255708978725,SWE
Sweden,2021-01-24,-1.6067303063077385,-3.970432652116947,0.41680801207917073,SWE
Sweden,2021-01-31,-0.6361267007713317,-2.875402121996711,1.4840738713400161,SWE
Sweden,2021-02-07,-0.6972648967605908,-3.0293773506805417,1.5902973900744684,SWE
Sweden,2021-02-14,-1.9017169987252207,-4.317810726666317,0.5221951202875169,SWE
Sweden,2021-02-21,-2.294205577233446,-4.828589448050273,0.013318296845798355,SWE
Sweden,2021-02-28,-0.8560925261056175,-3.38451741177113,1.5491610720548978,SWE
Sweden,2021-03-07,0.41813904734244817,-2.2648836599232505,3.1823780852582564,SWE
Sweden,2021-03-14,3.3304612216103666,0.22331978538439756,6.683844764505868,SWE
Sweden,2021-03-21,7.416367072154985,3.9471653161415596,11.210155332715853,SWE
Sweden,2021-03-28,9.775931087799698,5.798427339508963,13.507244900071502,SWE
Sweden,2021-04-04,11.48893165177378,7.670565382606511,14.907662327337764,SWE
Sweden,2021-04-11,12.30144553222129,9.054366123653521,15.400763354404202,SWE
Sweden,2021-04-18,10.513647239274992,7.388307130205703,13.30188193114478,SWE
Sweden,2021-04-25,9.143979350906488,6.079594885921252,11.398754924636663,SWE
Sweden,2021-05-02,8.907914229930023,5.773555082420652,11.326066224891076,SWE
Sweden,2021-05-09,8.117473117215912,4.981367194843086,11.00330796163534,SWE
Sweden,2021-05-16,8.850249738104688,5.514693830949323,12.010249287552636,SWE
Sweden,2021-05-23,9.861007631166594,6.283083886590745,13.0035860700342,SWE
Sweden,2021-05-30,8.27489581718363,5.062489779234178,10.852581569528311,SWE
Sweden,2021-06-06,6.804484550007872,3.929503709096364,9.229445604153948,SWE
Sweden,2021-06-13,7.237992396868611,4.251508010100032,10.10919439629404,SWE
Sweden,2021-06-20,5.834205829058286,2.914457930842044,8.615252760500603,SWE
Sweden,2021-06-27,4.52718787677076,1.7818819277462656,7.234695296626202,SWE
Sweden,2021-07-04,5.119272626973748,2.5181399776269258,7.8845754556739305,SWE
Sweden,2021-07-11,4.830314847163047,2.5204155987619425,7.392997882641776,SWE
Sweden,2021-07-18,4.568551212858093,2.5737457179722845,6.973215193824984,SWE
Sweden,2021-07-25,5.202503632148007,3.309632598098923,7.927116041734545,SWE
Sweden,2021-08-01,5.210716847651221,3.372246241048132,8.035515599087745,SWE
Sweden,2021-08-08,4.519925788703696,2.8246095237763598,6.741215570382804,SWE
Sweden,2021-08-15,4.389857756611882,2.6141591991755826,6.826076115515546,SWE
Sweden,2021-08-22,4.617918956904801,2.570986355067712,7.352588333592586,SWE
Sweden,2021-08-29,4.183666061345249,2.0927462783985407,6.943711328584225,SWE
Sweden,2021-09-05,3.569493116109644,1.5586507976270683,6.213339507107889,SWE
Sweden,2021-09-12,4.53341246820245,2.378716078957807,6.670732340697992,SWE
Sweden,2021-09-19,4.321274565244682,2.2395972965972595,6.318624255157355,SWE
Sweden,2021-09-26,3.883993230402756,1.981278489558808,5.967051791547879,SWE
Sweden,2021-10-03,4.2645342256566385,2.1081001638213577,6.458376778991351,SWE
Sweden,2021-10-10,4.505766490701645,2.2283472463431306,6.7139145058480025,SWE
Sweden,2021-10-17,5.0533855927410025,2.950496547657866,7.142722489368907,SWE
Sweden,2021-10-24,5.248770441083446,3.063608627038671,7.472812296447749,SWE
Sweden,2021-10-31,6.188138631044289,3.8296802705762296,8.803052492673016,SWE
Sweden,2021-11-07,6.456501491859304,4.087635579636192,8.88167939795252,SWE
Sweden,2021-11-14,6.42553813022279,3.8739297738931193,8.61887728021153,SWE
Sweden,2021-11-21,6.268812012169558,3.4421204164419033,8.706112667503685,SWE
Sweden,2021-11-28,5.8234699786067186,3.0418960107642325,8.51590125603911,SWE
Sweden,2021-12-05,5.269509946282518,2.472852545754935,7.662542243563079,SWE
Sweden,2021-12-12,4.649069549488721,1.7679860570090375,6.819063317218394,SWE
Sweden,2021-12-19,4.402097667987078,1.4760441464902694,7.092718984244493,SWE
Sweden,2021-12-26,3.8538301741000156,1.0281877722467867,6.456577647138416,SWE
Sweden,2022-01-02,3.071571174054321,0.5445929353314285,5.266924411351345,SWE
Sweden,2022-01-09,3.5966953647343516,0.873692931055928,6.050643030765034,SWE
Sweden,2022-01-16,3.903830803499604,0.6352114600549372,6.674793784024733,SWE
Sweden,2022-01-23,3.5606029008345415,0.9153804751045742,6.194778006626912,SWE
Sweden,2022-01-30,3.740091495391418,1.546367948869683,6.120730278619373,SWE
Sweden,2022-02-06,4.479661998015523,2.0649101601066406,6.946751718883631,SWE
Sweden,2022-02-13,4.5029142281993195,2.1878786470754497,7.085563946960875,SWE
Sweden,2022-02-20,4.3256466888986465,1.4872507638583619,7.434481960443248,SWE
Sweden,2022-02-27,4.157297961470924,0.3142410582829772,7.69847295419804,SWE
Sweden,2022-03-06,3.639924937830699,-0.4073330340162836,6.989360824616911,SWE
Sweden,2022-03-13,3.5983032626791367,0.1171740433647826,6.829403551313602,SWE
Sweden,2022-03-20,4.487272498294461,1.376035447729029,7.625828159340394,SWE
Sweden,2022-03-27,5.879964408127934,3.209923379077184,8.904094885318514,SWE
Sweden,2022-04-03,6.086351688119471,3.483580277066968,9.246284155856937,SWE
Sweden,2022-04-10,5.640613410925124,2.67256247066052,9.331055912368573,SWE
Sweden,2022-04-17,5.324126770599557,2.342786748993256,9.05037133496542,SWE
Sweden,2022-04-24,5.833428462304241,3.130614693621272,9.183873772056774,SWE
Switzerland,2018-05-13,3.6959461998900967,1.460974875582575,5.768680578556186,CHE
Switzerland,2018-05-20,1.9713756655285999,0.3141953634095306,4.02511951643528,CHE
Switzerland,2018-05-27,1.8184942610121626,0.23293049111888897,3.6710554868890988,CHE
Switzerland,2018-06-03,2.378478673552727,1.0399327120403297,3.930343422792446,CHE
Switzerland,2018-06-10,2.5810600635047134,0.770586252355199,4.207111034424871,CHE
Switzerland,2018-06-17,3.2858325074701376,1.0256292597750714,5.798897969296659,CHE
Switzerland,2018-06-24,1.6515471274094788,-0.6879967306398214,3.766375229999395,CHE
Switzerland,2018-07-01,2.6045063487506592,0.9661609478801748,4.512838583420395,CHE
Switzerland,2018-07-08,2.424641015205201,0.9026487123702563,4.227550336517152,CHE
Switzerland,2018-07-15,2.9122482324999424,1.308140728853642,4.552039472615037,CHE
Switzerland,2018-07-22,1.8810712104517067,0.10910709795946054,3.702544642395478,CHE
Switzerland,2018-07-29,2.292180265855545,0.09623840988614528,4.48384416278749,CHE
Switzerland,2018-08-05,2.0562432967564597,0.3635700778459867,4.075123981535959,CHE
Switzerland,2018-08-12,2.2152312135415304,0.4671634945084776,4.223344981645572,CHE
Switzerland,2018-08-19,1.914491090919818,0.628887455272312,3.208561131439118,CHE
Switzerland,2018-08-26,2.8601964576039896,1.3147993662821547,4.593283573485494,CHE
Switzerland,2018-09-02,2.151908168923832,0.7923592329225004,3.6946881100903797,CHE
Switzerland,2018-09-09,2.7236982307219066,1.3605635384683121,4.764324298601,CHE
Switzerland,2018-09-16,2.5583790217453624,1.176745975651241,4.0662646418594,CHE
Switzerland,2018-09-23,2.2096413402975528,0.9309365949297735,3.508388539249629,CHE
Switzerland,2018-09-30,1.7528899972309628,0.29366716723913666,3.103307576414483,CHE
Switzerland,2018-10-07,2.5875424349997207,0.7849731119687635,4.0925277623547185,CHE
Switzerland,2018-10-14,1.9312928313876179,0.4611381364466034,3.1623565096073656,CHE
Switzerland,2018-10-21,1.8768479406025969,0.6536411791621003,2.9171761599480956,CHE
Switzerland,2018-10-28,1.2865584734728222,0.060250404962738764,2.5072080438870934,CHE
Switzerland,2018-11-04,2.034336774226665,0.8181232067533524,3.3256048265972042,CHE
Switzerland,2018-11-11,2.067321237524797,0.6489800834634827,3.2587661998218858,CHE
Switzerland,2018-11-18,2.045678898274643,0.6153169507128249,3.524769326426335,CHE
Switzerland,2018-11-25,1.8146998455810914,0.5630315590652136,3.2869869113857852,CHE
Switzerland,2018-12-02,2.530597954112886,1.1927538112874028,3.850508526185428,CHE
Switzerland,2018-12-09,0.5802904059764563,-1.629209352878136,2.296724527462784,CHE
Switzerland,2018-12-16,2.055364268514002,0.5046111221829241,3.498205987180082,CHE
Switzerland,2018-12-23,2.0665549390065134,-0.45453960781486596,4.147321578130773,CHE
Switzerland,2018-12-30,0.9605355851159225,-0.5656389663927938,2.0415908492713775,CHE
Switzerland,2019-01-06,1.2918109626599077,-0.20371590163407893,2.623079614484518,CHE
Switzerland,2019-01-13,2.7523654080895428,1.1372560041052173,4.408876600225606,CHE
Switzerland,2019-01-20,2.1043765525248617,0.7932934088876973,3.509010574572826,CHE
Switzerland,2019-01-27,1.5242819460783956,0.1495347401149589,3.0207225522753203,CHE
Switzerland,2019-02-03,2.659461053624009,0.9468930017839612,4.414744196764633,CHE
Switzerland,2019-02-10,2.0573545857577686,0.6499480397199249,3.4294626538457624,CHE
Switzerland,2019-02-17,3.2947731673479677,1.7222508819236508,4.991304159134634,CHE
Switzerland,2019-02-24,2.150513036368042,0.1541347176267674,4.071579004266252,CHE
Switzerland,2019-03-03,2.252395155249251,0.6738735346187603,3.8050745029524142,CHE
Switzerland,2019-03-10,2.4168096249506474,0.9212029681906673,3.7984294381433634,CHE
Switzerland,2019-03-17,2.463617407105277,1.189683418797291,3.9605320468703615,CHE
Switzerland,2019-03-24,2.2803278278720414,0.5368017903699146,4.4811020199383975,CHE
Switzerland,2019-03-31,2.718907746683311,0.5772727280051044,4.838707872380014,CHE
Switzerland,2019-04-07,1.5897006022462021,-0.22661815424764195,3.343104928757806,CHE
Switzerland,2019-04-14,4.132375245751635,1.7736039341439453,7.081711400049407,CHE
Switzerland,2019-04-21,2.422676236156498,0.922368387795716,4.356326907589818,CHE
Switzerland,2019-04-28,1.0169422724898547,-0.16208113381219613,2.3381143417511567,CHE
Switzerland,2019-05-05,1.6434102007526736,-0.41591905105238963,3.7130093702236104,CHE
Switzerland,2019-05-12,1.5780491629120064,-0.14947920689128433,3.5554408309024765,CHE
Switzerland,2019-05-19,1.9153784244363703,0.17161898969238948,3.73174742668619,CHE
Switzerland,2019-05-26,2.430621281828991,0.920680183199038,4.084152913183965,CHE
Switzerland,2019-06-02,2.547103900525808,1.1882844873184537,4.078362265359691,CHE
Switzerland,2019-06-09,2.326868405766015,0.8632545307016096,3.7100911937854915,CHE
Switzerland,2019-06-16,2.5483201171540473,0.6953332039862488,3.942956215650767,CHE
Switzerland,2019-06-23,1.462533310746942,-1.2712626342762163,4.085400064314284,CHE
Switzerland,2019-06-30,1.78966493325609,-0.8741115546183722,3.9221667991593367,CHE
Switzerland,2019-07-07,1.972719448140395,0.6238073522612849,3.401245456874965,CHE
Switzerland,2019-07-14,1.773795075995556,0.01155412541393592,3.432183178349161,CHE
Switzerland,2019-07-21,1.4063206427093629,-0.27208359128535176,3.0597193756233825,CHE
Switzerland,2019-07-28,2.025131398878108,0.554182855627185,4.087660770854186,CHE
Switzerland,2019-08-04,2.9316275794653017,1.4244142355315779,5.052821458108952,CHE
